8.15,0.54,0.98,0.67,7.89,0.67,0.96,0.79,8.66,0.9,0.02,0.27,0.05,0.05,0.05,1.19,192.34,0.0,0.0
8.68,0.24,0.95,0.41,2.3,0.67,0.34,0.62,10.22,0.15,0.24,0.18,0.05,0.05,0.05,2.81,0.0,128.79999999999998,0.0
1.72,0.04,0.45,0.79,1.67,0.02,0.62,0.25,2.99,0.41,0.48,0.04,0.05,0.05,0.05,1.94,0.0,64.20517928286851,0.056150234741784044
3.5,0.91,0.18,0.57,9.14,0.41,0.35,0.74,5.64,0.63,0.13,0.3,0.05,0.05,0.05,0.93,50.08223684210527,0.0,0.9545839210155148
5.56,0.82,0.35,0.66,1.86,0.52,0.56,0.03,2.63,0.8,0.05,0.49,0.05,0.05,0.05,1.87,206.832,0.0,0.0
7.65,0.17,0.71,0.06,8.91,0.66,0.48,0.6,8.94,0.9,0.33,0.54,0.05,0.05,0.05,0.59,63.029079159935364,7.738213399503723,0.0
3.27,0.05,0.84,0.69,8.63,0.02,0.39,0.43,4.84,0.85,0.59,0.89,0.05,0.05,0.05,0.43,0.0,12.154929577464788,19.497630331753555
1.0,0.08,0.71,0.19,2.12,0.76,0.75,0.1,7.31,0.19,0.68,0.72,0.05,0.05,0.05,0.16,0.0,1.8488372093023255,8.672881355932203
1.04,0.31,0.71,0.16,6.71,0.28,0.3,0.91,5.13,0.2,0.05,0.66,0.05,0.05,0.05,2.76,0.0,0.0,282.15
2.77,0.96,0.18,0.94,7.44,0.62,0.76,0.53,8.88,0.83,0.27,0.29,0.05,0.05,0.05,0.1,4.134328358208954,0.0,1.6028880866425994
7.38,0.13,0.74,0.49,6.36,0.33,0.15,0.55,5.03,0.92,0.58,0.56,0.05,0.05,0.05,1.2,101.55040871934604,2.1009359515507433,0.0
5.5,0.17,0.86,0.89,8.11,0.02,0.78,0.24,5.34,0.39,0.62,0.91,0.05,0.05,0.05,1.89,0.0,24.54600484261501,79.1290909090909
7.49,0.06,0.25,0.26,7.77,0.64,0.82,0.26,5.81,0.1,0.03,0.98,0.05,0.05,0.05,2.98,0.0,0.0,345.114
3.68,0.62,0.24,0.57,8.49,0.63,0.3,0.89,5.35,0.89,0.12,0.24,0.05,0.05,0.05,2.13,156.03200000000004,0.0,0.0
1.18,0.05,0.59,0.61,9.67,0.56,0.89,0.99,3.29,0.66,0.45,0.46,0.05,0.05,0.05,2.79,27.804597701149422,5.502345251826221,0.0
3.81,0.73,0.23,0.51,3.86,0.17,0.75,0.57,3.66,0.55,0.77,0.31,0.05,0.05,0.05,2.21,0.0,169.83999999999997,0.0
3.15,0.38,0.45,0.37,7.24,0.37,0.24,0.36,1.04,0.34,0.08,0.26,0.05,0.05,0.05,2.98,187.11,0.0,0.0
10.16,0.74,0.84,0.93,7.72,0.75,0.58,0.98,3.75,0.65,0.31,0.65,0.05,0.05,0.05,2.23,451.10400000000004,0.0,0.0
4.01,0.58,0.27,0.59,9.45,0.31,0.26,0.78,1.95,0.06,0.04,0.93,0.05,0.05,0.05,0.14,0.0,0.0,5.46
10.52,0.68,0.82,0.5,6.87,0.45,0.27,0.45,3.06,0.16,0.1,0.52,0.05,0.05,0.05,0.68,0.0,0.0,41.004
3.34,0.18,0.64,0.32,6.37,0.67,0.05,0.59,0.51,0.12,0.81,0.23,0.05,0.05,0.05,1.73,0.0,219.12799999999996,0.0
3.34,0.68,0.11,0.04,2.38,0.57,0.26,0.05,8.08,0.89,0.79,0.03,0.05,0.05,0.05,1.79,51.061151079136685,1.8152542372881353,0.0
